Request ID,Status,Action Type,Date Submitted,Date Completed,Address,Platform,Submitted By
REQ512616,Closed,Repair Pothole in Street,12/29/2014 02:38:00 PM,01/05/2015 06:21:00 PM,"55 Kirkland St
Cambridge, MA
(42.37744705000006, -71.11042677299997)",,web-services
REQ520985,Closed,Repair Pothole in Street,03/05/2015 12:31:00 PM,03/09/2015 03:42:00 PM,"41 Sciarappa St
Cambridge, MA
(42.37152662600005, -71.08145610299994)",iOS,web-services
REQ522907,Closed,Repair Pothole in Street,03/24/2015 04:27:00 PM,04/09/2015 02:22:00 PM,"194 Norfolk St
Cambridge, MA
(42.368901728000026, -71.09874148299997)",iOS,web-services
REQ512222,Closed,Repair Pothole in Street,12/19/2014 02:02:00 PM,12/31/2014 02:13:00 PM,"Kirkland St
Cambridge, MA
(42.377198339000074, -71.11144704699996)",,web-services
REQ520708,Closed,Repair Pothole in Street,03/03/2015 04:11:00 PM,03/26/2015 03:21:00 PM,"4 Suffolk St
Cambridge, MA
(42.365932298000075, -71.09878872599995)",,web-services
REQ522734,Closed,Repair Pothole in Street,03/23/2015 04:19:00 PM,04/03/2015 04:57:00 PM,"25 Wendell St
Cambridge, MA
(42.38164711700006, -71.11745914899996)",,web-services
REQ522623,Closed,Repair Pothole in Street,03/21/2015 09:04:00 PM,03/30/2015 12:03:00 PM,"1853 Massachusetts Ave
Cambridge, MA
(42.38782795700007, -71.11922559699997)",,web-services
REQ521823,Closed,Repair Pothole in Street,03/12/2015 03:25:00 PM,03/26/2015 03:27:00 PM,"Bishop Allen Dr
Cambridge, MA
(42.365357052000036, -71.10151208899998)",,apedro
REQ514607,Closed,Repair Pothole in Street,01/22/2015 04:46:00 PM,03/03/2015 04:07:00 PM,"348 Harvard St
Cambridge, MA
(42.37083295200006, -71.10980799699996)",,web-services
REQ525215,Assigned,Repair Pothole in Street,04/14/2015 12:29:00 PM,,"280 Harvard St
Cambridge, MA
(42.369103377000044, -71.10408922299996)",iOS,web-services
REQ522615,Closed,Repair Pothole in Street,03/21/2015 06:10:00 PM,03/26/2015 12:18:00 PM,"74 Huron Ave
Cambridge, MA
(42.38430543100003, -71.12874229199997)",,web-services
REQ520831,Closed,Repair Pothole in Street,03/04/2015 02:45:00 AM,03/19/2015 12:27:00 PM,"100 Holworthy St
Cambridge, MA
(42.377802392000035, -71.15075535199998)",,web-services
REQ522276,Closed,Repair Pothole in Street,03/17/2015 09:27:00 PM,03/23/2015 12:45:00 PM,"246 Brookline St
Cambridge, MA
(42.35797694400003, -71.10732943899995)",Android,web-services
REQ511780,Closed,Repair Pothole in Street,12/15/2014 01:11:00 AM,12/17/2014 07:24:00 PM,"39 Parker St
Cambridge, MA
(42.379766593000056, -71.12866969799995)",iOS,web-services
REQ521816,Closed,Repair Pothole in Street,03/12/2015 02:56:00 PM,03/12/2015 02:58:00 PM,"19 Coolidge Hill Rd
Cambridge, MA
(42.37416650400007, -71.13900451399996)",,apedro
REQ522282,Closed,Repair Pothole in Street,03/17/2015 09:51:00 PM,03/23/2015 12:46:00 PM,"296 Brookline St
Cambridge, MA
(42.356856926000034, -71.10851974599996)",,web-services
REQ522637,Closed,Repair Pothole in Street,03/22/2015 02:34:00 PM,03/23/2015 06:24:00 PM,"Park Ave
Cambridge, MA
(42.37760995200006, -71.14903069499996)",,web-services
REQ518664,Closed,Repair Pothole in Street,02/17/2015 06:43:00 PM,03/03/2015 04:12:00 PM,"127 Huron Ave
Cambridge, MA
(42.383142779000025, -71.13017112099993)",Android,web-services
REQ519304,Closed,Repair Pothole in Street,02/21/2015 06:58:00 PM,03/06/2015 03:34:00 PM,"298 Walden St
Cambridge, MA
(42.38540091900006, -71.13232761399996)",,web-services
REQ521279,Work in Progress,Repair Pothole in Street,03/07/2015 12:39:00 AM,,"53 Alpine St
Cambridge, MA
(42.38484930800007, -71.13763560299998)",iOS,web-services
REQ510316,Closed,Repair Pothole in Street,11/25/2014 07:57:00 PM,12/04/2014 04:35:00 PM,"1638 Massachusetts Ave
Cambridge, MA
(42.38112398100003, -71.11982708799997)",,web-services
REQ511398,Closed,Repair Pothole in Street,12/09/2014 08:43:00 PM,12/31/2014 02:04:00 PM,"234 Franklin St
Cambridge, MA
(42.36393424100004, -71.10426552199993)",iOS,web-services
REQ525002,Assigned,Repair Pothole in Street,04/13/2015 03:15:00 AM,,"684 Massachusetts Ave
Cambridge, MA
(42.365804395000055, -71.10443605899997)",,web-services
REQ522703,Resolved,Repair Pothole in Street,03/23/2015 02:36:00 PM,04/14/2015 12:04:00 PM,"529 MA-16
Cambridge, MA
(42.364338091000036, -71.10188935899998)",iOS,web-services
REQ525216,Resolved,Repair Pothole in Street,04/14/2015 12:30:00 PM,04/14/2015 12:31:00 PM,"137 Willow St
Cambridge, MA
(42.37335068800007, -71.09161577199995)",,apedro
REQ521622,Assigned,Repair Pothole in Street,03/10/2015 09:54:00 PM,,"23 Murdock St
Cambridge, MA
(42.37101847000008, -71.09914708599996)",,web-services
REQ521289,Closed,Repair Pothole in Street,03/07/2015 03:49:00 AM,03/09/2015 03:38:00 PM,"58 Charles St
Cambridge, MA
(42.36745215800005, -71.07964356399998)",Android,web-services
REQ524190,Resolved,Repair Pothole in Street,04/03/2015 01:16:00 PM,04/14/2015 12:02:00 PM,"17 Farrar St
Cambridge, MA
(42.37856706800005, -71.10894608999996)",iOS,web-services
REQ519631,Closed,Repair Pothole in Street,02/24/2015 01:20:00 PM,02/27/2015 01:14:00 PM,"525 Cambridge St
Cambridge, MA
(42.37170638200007, -71.08495673499993)",,apedro
REQ522128,Assigned,Repair Pothole in Street,03/16/2015 11:23:00 PM,,"710 Harvard St
Cambridge, MA
(42.37166044600008, -71.11276929199994)",,web-services
REQ525306,Assigned,Repair Pothole in Street,04/14/2015 03:34:00 PM,,"17 Day St
Cambridge, MA
(42.39458493700005, -71.12532577599995)",,web-services
REQ519633,Closed,Repair Pothole in Street,02/24/2015 01:22:00 PM,02/27/2015 01:15:00 PM,"151 Cambridge St
Cambridge, MA
(42.37085715000006, -71.07826658699997)",,apedro
REQ523268,Assigned,Repair Pothole in Street,03/27/2015 12:06:00 AM,,"Gibson St
Cambridge, MA
(42.375558666000074, -71.13250857399998)",,web-services
REQ521143,Closed,Repair Pothole in Street,03/05/2015 11:12:00 PM,03/09/2015 03:29:00 PM,"21 Manassas Ave
Cambridge, MA
(42.38180498000003, -71.13118628199999)",Android,web-services
REQ521404,Closed,Repair Pothole in Street,03/09/2015 01:18:00 PM,03/10/2015 04:43:00 PM,"680 Huron Ave
Cambridge, MA
(42.38036857900005, -71.15303718199993)",,web-services
REQ504702,Closed,Repair Pothole in Street,10/10/2014 08:02:00 PM,10/22/2014 12:22:00 PM,"40 Appleton St
Cambridge, MA
(42.37844953500007, -71.13360607399994)",,web-services
REQ523669,Assigned,Repair Pothole in Street,03/31/2015 11:13:00 AM,,"35 Line St
Cambridge, MA
(42.377107127000045, -71.10625205599996)",,web-services
REQ523155,Closed,Repair Pothole in Street,03/26/2015 12:28:00 PM,03/26/2015 12:28:00 PM,"57 Huron Ave
Cambridge, MA
(42.38459580600005, -71.12831133899994)",,apedro
REQ523193,Closed,Repair Pothole in Street,03/26/2015 02:16:00 PM,03/26/2015 02:16:00 PM,"502 Huron Ave
Cambridge, MA
(42.380131867000046, -71.14396393499999)",,apedro
REQ513838,Closed,Repair Pothole in Street,01/13/2015 12:43:00 PM,01/23/2015 02:58:00 PM,"Fulkerson St
Cambridge, MA
(42.364756990000046, -71.08932791099994)",,apedro
REQ522871,Resolved,Repair Pothole in Street,03/24/2015 02:49:00 PM,04/14/2015 12:07:00 PM,"26 Smith Pl
Cambridge, MA
(42.39120183800003, -71.15081309799996)",iOS,web-services
REQ521307,Closed,Repair Pothole in Street,03/07/2015 04:28:00 PM,03/23/2015 12:37:00 PM,"1 Francis Ave
Cambridge, MA
(42.37748853200003, -71.11171502399998)",,web-services
REQ523441,Closed,Repair Pothole in Street,03/27/2015 10:50:00 PM,04/01/2015 05:48:00 PM,"109 Pine St
Cambridge, MA
(42.36590233900006, -71.09768368799996)",,web-services
REQ505930,Closed,Repair Pothole in Street,10/27/2014 01:41:00 AM,10/31/2014 02:44:00 PM,"5 Hemlock Rd
Cambridge, MA
(42.38047294200004, -71.13257132499996)",,web-services
REQ522416,Closed,Repair Pothole in Street,03/19/2015 01:59:00 PM,03/20/2015 02:28:00 PM,"Cambridge St
Cambridge, MA
(42.375468656000066, -71.11429872199994)",,apedro
REQ514517,Closed,Repair Pothole in Street,01/21/2015 10:19:00 PM,02/19/2015 07:15:00 PM,"113 Charles St
Cambridge, MA
(42.367716157000075, -71.08128824599999)",,web-services
REQ525223,Resolved,Repair Pothole in Street,04/14/2015 12:40:00 PM,04/14/2015 12:41:00 PM,"2 Hancock St
Cambridge, MA
(42.366867951000074, -71.11029771699998)",,apedro
REQ523181,Closed,Repair Pothole in Street,03/26/2015 01:55:00 PM,03/26/2015 01:56:00 PM,"14 Trowbridge St
Cambridge, MA
(42.37071081100004, -71.11248359599995)",,apedro
REQ522106,Closed,Repair Pothole in Street,03/16/2015 08:51:00 PM,03/23/2015 12:29:00 PM,"7 Bristol St
Cambridge, MA
(42.36784623800003, -71.09121247299998)",iOS,web-services
REQ523443,Closed,Repair Pothole in Street,03/27/2015 10:56:00 PM,04/01/2015 05:50:00 PM,"109 Pine St
Cambridge, MA
(42.36590233900006, -71.09768368799996)",,web-services
REQ521771,Closed,Repair Pothole in Street,03/12/2015 12:43:00 PM,03/19/2015 06:28:00 PM,"30 Sherman St
Cambridge, MA
(42.385438124000075, -71.13041310099999)",iOS,web-services
REQ516836,Closed,Repair Pothole in Street,02/04/2015 11:41:00 PM,02/24/2015 03:17:00 PM,"Columbia St
Cambridge, MA
(42.36672257500004, -71.09801552299996)",,web-services
REQ522020,Assigned,Repair Pothole in Street,03/16/2015 12:29:00 PM,,"Cambridge, MA
(42.36679362800004, -71.10600609899996)",,arodibaugh
REQ506892,Closed,Repair Pothole in Street,11/04/2014 12:18:00 PM,11/17/2014 01:03:00 PM,"827 Mt Auburn St
Cambridge, MA
(42.37477654300005, -71.13163442099994)",iOS,web-services
REQ521741,Closed,Repair Pothole in Street,03/11/2015 10:40:00 PM,04/06/2015 12:01:00 PM,"49 Roseland St
Cambridge, MA
(42.38672637500008, -71.11713881399999)",,web-services
REQ520972,Closed,Repair Pothole in Street,03/05/2015 12:47:00 AM,03/13/2015 05:21:00 PM,"299 Sherman St
Cambridge, MA
(42.393413235000025, -71.13286930799995)",iOS,web-services
REQ524963,Assigned,Repair Pothole in Street,04/11/2015 08:36:00 PM,,"4 Cogswell Pl
Cambridge, MA
(42.39030997200007, -71.12495589399998)",,web-services
REQ513178,Closed,Repair Pothole in Street,01/06/2015 02:52:00 PM,01/06/2015 02:53:00 PM,"15 Chalk St
Cambridge, MA
(42.36169420500005, -71.10939547999993)",,apedro
REQ521218,Closed,Repair Pothole in Street,03/06/2015 03:08:00 PM,03/23/2015 02:14:00 PM,"72 Garfield St
Cambridge, MA
(42.38363367200003, -71.11705807799996)",,web-services
REQ521092,Closed,Repair Pothole in Street,03/05/2015 08:14:00 PM,03/20/2015 06:28:00 PM,"11 Howard St
Cambridge, MA
(42.36394461200007, -71.11068718799999)",,web-services
REQ511925,Closed,Repair Pothole in Street,12/16/2014 12:52:00 PM,12/26/2014 12:32:00 PM,"8 Rockwell St
Cambridge, MA
(42.36226458500005, -71.11089690399996)",iOS,web-services
REQ511924,Closed,Repair Pothole in Street,12/16/2014 12:50:00 PM,12/26/2014 12:32:00 PM,"230 River St
Cambridge, MA
(42.36299524200007, -71.11136831299996)",iOS,web-services
REQ523183,Closed,Repair Pothole in Street,03/26/2015 01:58:00 PM,03/26/2015 01:59:00 PM,"45 Ellery St
Cambridge, MA
(42.372044964000054, -71.11022102999993)",,apedro
REQ525009,Assigned,Repair Pothole in Street,04/13/2015 11:43:00 AM,,"25 Brewster St
Cambridge, MA
(42.37862583400005, -71.13186843299997)",,web-services
REQ514140,Closed,Repair Pothole in Street,01/16/2015 12:53:00 AM,02/19/2015 04:12:00 PM,"90 Holworthy St
Cambridge, MA
(42.377562659000034, -71.15067353799998)",iOS,web-services
REQ512312,Closed,Repair Pothole in Street,12/22/2014 02:33:00 PM,12/30/2014 05:19:00 PM,"Pleasant St
Cambridge, MA
(42.36259393100005, -71.10990810799996)",,web-services
REQ521781,Closed,Repair Pothole in Street,03/12/2015 12:53:00 PM,03/23/2015 12:24:00 PM,"250 Binney St
Cambridge, MA
(42.36608099600005, -71.08621248499998)",,web-services
REQ519531,Closed,Repair Pothole in Street,02/23/2015 06:12:00 PM,03/03/2015 04:17:00 PM,"160 Monsignor Obrien Hwy
Cambridge, MA
(42.37144009700006, -71.07748974099997)",,web-services
REQ523811,Closed,Repair Pothole in Street,03/31/2015 04:53:00 PM,04/01/2015 11:41:00 AM,"9 Phillips Pl
Cambridge, MA
(42.37689280200004, -71.12405135299997)",,web-services
REQ513888,Closed,Repair Pothole in Street,01/13/2015 02:50:00 PM,01/20/2015 12:53:00 PM,"Franklin St
Cambridge, MA
(42.36507629600004, -71.10612899499995)",,apedro
REQ524391,Assigned,Repair Pothole in Street,04/06/2015 04:56:00 PM,,"1 Davenport St
Cambridge, MA
(42.38951836200005, -71.11994064599998)",,web-services
REQ521310,Closed,Repair Pothole in Street,03/07/2015 05:19:00 PM,03/13/2015 05:08:00 PM,"48 Kirkland St
Cambridge, MA
(42.377192396000055, -71.11133477099997)",,web-services
REQ512221,Closed,Repair Pothole in Street,12/19/2014 01:55:00 PM,12/31/2014 02:06:00 PM,"55 Highland St
Cambridge, MA
(42.37909194700006, -71.13438240299996)",,web-services
REQ522310,Closed,Repair Pothole in Street,03/18/2015 02:08:00 PM,03/20/2015 12:40:00 PM,"30 Sherman St
Cambridge, MA
(42.385438124000075, -71.13041310099999)",iOS,web-services
REQ514675,Closed,Repair Pothole in Street,01/22/2015 08:07:00 PM,02/24/2015 06:58:00 PM,"Lambert St
Cambridge, MA
(42.372495652000055, -71.08678378399998)",,web-services
REQ522234,Closed,Repair Pothole in Street,03/17/2015 04:57:00 PM,03/23/2015 03:44:00 PM,"80 Wendell St
Cambridge, MA
(42.38204235000006, -71.11377299899993)",iOS,web-services
REQ512553,Closed,Repair Pothole in Street,12/26/2014 06:26:00 PM,12/31/2014 02:17:00 PM,"Memorial Dr
Cambridge, MA
(42.37117283100008, -71.12431202299996)",,web-services
REQ524981,Assigned,Repair Pothole in Street,04/12/2015 05:36:00 PM,,"88 Walker St
Cambridge, MA
(42.38088663000008, -71.12296887399998)",iOS,web-services
REQ521347,Closed,Repair Pothole in Street,03/08/2015 12:23:00 AM,03/13/2015 06:53:00 PM,"931 Massachusetts Ave
Cambridge, MA
(42.368655140000044, -71.10928831799998)",,web-services
REQ519005,Closed,Repair Pothole in Street,02/19/2015 01:57:00 PM,03/04/2015 05:03:00 PM,"Memorial Dr
Cambridge, MA
(42.37117283100008, -71.12431202299996)",,web-services
REQ523807,Assigned,Repair Pothole in Street,03/31/2015 04:48:00 PM,,"28 Hurlbut St
Cambridge, MA
(42.384169462000045, -71.12089640499994)",,web-services
REQ521163,Closed,Repair Pothole in Street,03/06/2015 02:49:00 AM,03/13/2015 05:04:00 PM,"66 Antrim St
Cambridge, MA
(42.37182045800006, -71.10266384999994)",,web-services
REQ510473,Closed,Repair Pothole in Street,11/29/2014 04:15:00 PM,12/17/2014 12:43:00 PM,"78 Huron Ave
Cambridge, MA
(42.38426510200003, -71.12879183999996)",,web-services
REQ521997,Closed,Repair Pothole in Street,03/15/2015 11:04:00 PM,03/23/2015 06:29:00 PM,"1560 Massachusetts Ave
Cambridge, MA
(42.37856015400007, -71.12046429899993)",iOS,web-services
REQ522001,Closed,Repair Pothole in Street,03/16/2015 04:10:00 AM,03/20/2015 12:12:00 PM,"18 Parker St
Cambridge, MA
(42.379962481000064, -71.12793108599993)",,web-services
REQ505422,Closed,Repair Pothole in Street,10/21/2014 12:05:00 PM,10/23/2014 03:28:00 PM,"169 Harvard St
Cambridge, MA
(42.36613625200005, -71.09560958099996)",iOS,web-services
REQ513846,Closed,Repair Pothole in Street,01/13/2015 12:57:00 PM,01/23/2015 03:02:00 PM,"129 Second St
Cambridge, MA
(42.36768837500006, -71.07935549299998)",,apedro
REQ524967,Assigned,Repair Pothole in Street,04/11/2015 09:09:00 PM,,"1815 Massachusetts Ave
Cambridge, MA
(42.387358978000066, -71.11910345499996)",Android,web-services
REQ513839,Closed,Repair Pothole in Street,01/13/2015 12:45:00 PM,01/20/2015 12:49:00 PM,"Rufo Rd
Cambridge, MA
(42.37328328700005, -71.08479559199998)",,apedro
REQ519539,Closed,Repair Pothole in Street,02/23/2015 07:06:00 PM,03/13/2015 05:03:00 PM,"1 Amory St
Cambridge, MA
(42.37042274000004, -71.10198169899996)",,web-services
REQ517859,Closed,Repair Pothole in Street,02/11/2015 08:52:00 PM,03/12/2015 08:30:00 PM,"Memorial Dr
Cambridge, MA
(42.37117283100008, -71.12431202299996)",,web-services
REQ522201,Closed,Repair Pothole in Street,03/17/2015 03:12:00 PM,04/09/2015 02:12:00 PM,"120 Avon Hill St
Cambridge, MA
(42.38656620800003, -71.12541104499996)",,web-services
REQ513160,Closed,Repair Pothole in Street,01/06/2015 01:43:00 PM,01/06/2015 01:44:00 PM,"4 Kinnaird St
Cambridge, MA
(42.364205027000025, -71.10885390799996)",,apedro
REQ512340,Closed,Repair Pothole in Street,12/22/2014 04:39:00 PM,12/31/2014 02:23:00 PM,"43 Roberts Rd
Cambridge, MA
(42.37720737500007, -71.10826624399994)",iOS,web-services
REQ522888,Closed,Repair Pothole in Street,03/24/2015 03:30:00 PM,03/26/2015 06:23:00 PM,"17 Banks St
Cambridge, MA
(42.37020380700005, -71.11458766199996)",,web-services
REQ519391,Closed,Repair Pothole in Street,02/23/2015 12:34:00 PM,03/13/2015 05:01:00 PM,"Amory St
Cambridge, MA
(42.37128153500004, -71.10087546699998)",,web-services
REQ519443,Closed,Repair Pothole in Street,02/23/2015 01:46:00 PM,02/24/2015 03:22:00 PM,"245 Columbia St
Cambridge, MA
(42.36932955200007, -71.09657900599996)",,web-services
REQ523798,Assigned,Repair Pothole in Street,03/31/2015 04:08:00 PM,,"10 Mt Auburn St
Cambridge, MA
(42.37040315100006, -71.11429959199995)",iOS,web-services
REQ522602,Closed,Repair Pothole in Street,03/20/2015 10:08:00 PM,04/07/2015 12:31:00 PM,"37 Granite St
Cambridge, MA
(42.35615398200008, -71.11222592499996)",iOS,web-services
REQ519639,Closed,Repair Pothole in Street,02/24/2015 01:35:00 PM,02/27/2015 01:16:00 PM,"Broadway
Cambridge, MA
(42.37379121300006, -71.11232021999996)",,apedro
REQ521418,Closed,Repair Pothole in Street,03/09/2015 02:04:00 PM,03/13/2015 11:46:00 AM,"Rindgefield St
Cambridge, MA
(42.393389537000076, -71.12777688799997)",,web-services
REQ522318,Closed,Repair Pothole in Street,03/18/2015 02:57:00 PM,03/20/2015 12:31:00 PM,"Walden St
Cambridge, MA
(42.38448093000005, -71.13338832199997)",,web-services
REQ522478,Closed,Repair Pothole in Street,03/19/2015 06:48:00 PM,03/20/2015 12:45:00 PM,"Kirkland St
Cambridge, MA
(42.377198339000074, -71.11144704699996)",,web-services
REQ511493,Closed,Repair Pothole in Street,12/10/2014 05:10:00 PM,12/26/2014 12:34:00 PM,"315 Harvard St
Cambridge, MA
(42.37014619200005, -71.10715313999998)",,web-services
REQ520372,Closed,Repair Pothole in Street,02/27/2015 07:22:00 PM,03/06/2015 01:39:00 PM,"Bennett St
Cambridge, MA
(42.37255814700006, -71.12261836499994)",,web-services
REQ511140,Closed,Repair Pothole in Street,12/07/2014 12:45:00 AM,12/31/2014 01:59:00 PM,"Coolidge Ave
Cambridge, MA
(42.366468574000066, -71.14377088599997)",,web-services
REQ514646,Closed,Repair Pothole in Street,01/22/2015 05:01:00 PM,03/03/2015 03:39:00 PM,"Clay St
Cambridge, MA
(42.39549264500005, -71.13421238899997)",,web-services
REQ519014,Closed,Repair Pothole in Street,02/19/2015 02:28:00 PM,03/03/2015 03:56:00 PM,"22 Garden St
Cambridge, MA
(42.37786878500003, -71.12337496299995)",,web-services
REQ514168,Closed,Repair Pothole in Street,01/16/2015 01:35:00 PM,02/19/2015 06:53:00 PM,"39 Gold Star Rd
Cambridge, MA
(42.39934155700007, -71.13033128899997)",,wdwyer
REQ524232,Closed,Repair Pothole in Street,04/03/2015 05:16:00 PM,04/03/2015 05:17:00 PM,"Third St
Cambridge, MA
(42.364943252000046, -71.08281771899993)",,apedro
REQ521961,Closed,Repair Pothole in Street,03/13/2015 07:20:00 PM,03/20/2015 11:59:00 AM,"235 Walden St
Cambridge, MA
(42.38638530000003, -71.13049030399998)",iOS,web-services
REQ523665,Closed,Repair Pothole in Street,03/31/2015 03:13:00 AM,04/03/2015 12:50:00 PM,"109 Coolidge Hill
Cambridge, MA
(42.37313636400006, -71.13919003099994)",iOS,web-services
